Seriation_Number	Assemblage	3-3-6499414	1-1-4	0-8979257-51755	0-9199983-7948638	2877316-3-6778825	0-8438668-7948638	3-3-4	0-3-5545170	2-1190081-4597143	0-1-3	3-3-571571	1-1-7303685	0-4108200-7948638	0-1727504-7948638	1-9804472-4	2-5982450-4139302	2-5982450-4689096	2682058-7351496-6778825	3-2781075-4	4632024-3-4	5615473-1-2	3735482-3-4	6922544-7351496-6778825	3-3-7227717	435442-1-4	0-9199983-7462435	1-3-0	2631051-9698154-2	6922544-7351496-3334845	0-6295838-4	2-5573919-2	3-3-3066255	0-3-51755	6922544-2768874-6778825	5064582-1-2	0-3-4	0-3-6778825	2005861-1-2	6294144-3-4	2-1843540-2	0-397275-8806163	0-3-7948638	1-4-1	0-3-6240148	2-1-2	1529192-9199983-7948638	6922544-3-6778825	2-1-773611	1-1-9286512	0-397275-7948638	0-7434139-7948638	1-1-8999420	6884530-1-7303685	2631051-1-2	2-5982450-2	2-1-4597143	2-369943-2
35	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
35	assemblage-157-845	0	87	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	11	0	0	47	0	18	0	0	8

36	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
36	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
36	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

37	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
37	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
37	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

38	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
38	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
38	assemblage-777-936	0	80	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	8	0	0	36	0	20	0	0	3

39	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
39	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
39	assemblage-698-984	0	281	0	0	0	0	0	0	0	55	0	108	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	20

40	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
40	assemblage-431-667	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	33	0	0	0	0	91	0	0	14	0	0	0	0	0	122	0	0	0	2	0	17
40	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

41	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
41	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
41	assemblage-157-845	0	87	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	11	0	0	47	0	18	0	0	8

42	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
42	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
42	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

43	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
43	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
43	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

44	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
44	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
44	assemblage-777-936	0	80	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	8	0	0	36	0	20	0	0	3

45	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
45	assemblage-635-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	0	11	0	13
45	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

46	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
46	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10
46	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

47	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
47	assemblage-698-984	0	281	0	0	0	0	0	0	0	55	0	108	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	20
47	assemblage-372-841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	52	0	0	239	0	0	0	0	0	0	0	0	92	0	26	20

48	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
48	assemblage-698-984	0	281	0	0	0	0	0	0	0	55	0	108	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	20
48	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

49	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
49	assemblage-698-984	0	281	0	0	0	0	0	0	0	55	0	108	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	20
49	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

50	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
50	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3
50	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

51	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
51	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
51	assemblage-372-841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	52	0	0	239	0	0	0	0	0	0	0	0	92	0	26	20

52	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
52	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
52	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

53	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
53	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
53	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

54	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
54	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
54	assemblage-698-984	0	281	0	0	0	0	0	0	0	55	0	108	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	20

55	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
55	assemblage-669-356	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	314	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	23
55	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3

56	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
56	assemblage-431-667	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	33	0	0	0	0	91	0	0	14	0	0	0	0	0	122	0	0	0	2	0	17
56	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

57	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
57	assemblage-431-667	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	33	0	0	0	0	91	0	0	14	0	0	0	0	0	122	0	0	0	2	0	17
57	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

58	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
58	assemblage-431-667	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	33	0	0	0	0	91	0	0	14	0	0	0	0	0	122	0	0	0	2	0	17
58	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3

59	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
59	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
59	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

60	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
60	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
60	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

61	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
61	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13
61	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3

62	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
62	assemblage-635-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	0	11	0	13
62	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

63	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
63	assemblage-635-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	0	11	0	13
63	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

64	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
64	assemblage-635-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	0	11	0	13
64	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3

65	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
65	assemblage-635-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	23	0	27	0	0	0	0	0	0	0	11	0	13
65	assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	13	0	25	0	0	281	0	26	0	0	0	0	0	0	0	0	0	13

66	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
66	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
66	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

67	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
67	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
67	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10

68	assemblage-980-599	6	0	0	0	0	0	341	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
68	assemblage-560-429	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	398	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11
68	assemblage-695-482	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	206	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3

69	assemblage-672-973	0	278	0	0	0	0	0	0	0	46	0	134	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	17
69	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10
69	assemblage-157-845	0	87	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	11	0	0	47	0	18	0	0	8

70	assemblage-672-973	0	278	0	0	0	0	0	0	0	46	0	134	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	17
70	assemblage-672-983	0	278	0	0	0	0	0	0	0	39	0	140	0	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10
70	assemblage-320-424	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	18	21	98	4

